Index,Country,Month,HarvestYear
18139,Vietnam,December,2018
18140,India,July,2018
18141,Thailand,June,2018
18142,Vietnam,January,2018
18143,India,January,2018
18144,Thailand,May,2018
18145,Vietnam,December,2018
18146,India,July,2018
18147,Thailand,June,2018
18148,Vietnam,January,2018
18149,Philippines,February,2018
18150,Phillippines,July,2018
18151,India,January,2018
18152,Thailand,May,2018
18153,Vietnam,December,2018
18154,India,July,2018
18155,Thailand,June,2018
18156,Vietnam,January,2018
18157,India,January,2018
18158,Thailand,May,2018
18159,Vietnam,December,2018
18160,India,July,2018
18161,Thailand,June,2018
18162,Vietnam,January,2018
18163,India,January,2018
18164,Thailand,May,2018
18165,Vietnam,December,2018
18166,India,July,2018
18167,Thailand,June,2018
18168,Vietnam,January,2018
18169,India,January,2018
18170,Thailand,May,2018
18171,Vietnam,December,2018
18172,India,July,2018
18173,Thailand,June,2018
18174,Vietnam,January,2018
18175,India,January,2018
18176,Thailand,May,2018
18177,Vietnam,December,2018
18178,India,July,2018
18179,Thailand,June,2018
18180,Vietnam,January,2018
18181,India,January,2018
18182,Thailand,May,2018
18183,Vietnam,December,2018
18184,India,July,2018
18185,Thailand,June,2018
18186,Vietnam,January,2018
18187,India,January,2018
18188,Thailand,May,2018
18189,Vietnam,December,2018
18190,India,July,2018
18191,Thailand,June,2018
18192,Vietnam,January,2018
18193,India,January,2018
18194,Thailand,May,2018
18195,Vietnam,December,2018
18196,India,July,2018
18197,Thailand,June,2018
18198,Vietnam,January,2018
18199,Philippines,February,2018
18200,Phillippines,July,2018
18201,India,January,2018
18202,Thailand,May,2018
18203,Vietnam,December,2018
18204,India,July,2018
18205,Thailand,June,2018
18206,Vietnam,January,2018
18207,India,January,2018
18208,Thailand,May,2018
18209,Vietnam,December,2018
18210,India,July,2018
18211,Thailand,June,2018
18212,Vietnam,January,2018
18213,India,January,2018
18214,Thailand,May,2018
18215,Vietnam,December,2018
18216,India,July,2018
18217,Thailand,June,2018
18218,Vietnam,January,2018
18219,India,January,2018
18220,Thailand,May,2018
18221,Vietnam,December,2018
18222,India,July,2018
18223,Thailand,June,2018
18224,Vietnam,January,2018
18225,India,January,2018
18226,Thailand,May,2018
18227,Vietnam,December,2018
18228,India,July,2018
18229,Thailand,June,2018
18230,Vietnam,January,2018
18231,India,January,2018
18232,Thailand,May,2018
18233,Vietnam,December,2018
18234,India,July,2018
18235,Thailand,June,2018
18236,Vietnam,January,2018
18237,India,January,2018
18238,Thailand,May,2018
18239,Vietnam,December,2018
18240,India,July,2018
18241,Thailand,June,2018
18242,Vietnam,January,2018
18243,India,January,2018
18244,Thailand,May,2018
18245,Vietnam,December,2018
18246,India,July,2018
18247,Thailand,June,2018
18248,Vietnam,January,2018
18249,Philippines,February,2018
18250,Phillippines,July,2018
18251,India,January,2018
18252,Thailand,May,2018
18253,Vietnam,December,2018
18254,India,July,2018
18255,Thailand,June,2018
18256,Vietnam,January,2018
18257,India,January,2018
18258,Thailand,May,2018
18259,Vietnam,December,2018
18260,India,July,2018
18261,Thailand,June,2018
18262,Vietnam,January,2018
18263,India,January,2018
18264,Thailand,May,2018
18265,Vietnam,December,2018
18266,India,July,2018
18267,Thailand,June,2018
18268,Vietnam,January,2018
18269,India,January,2018
18270,Thailand,May,2018
18271,Vietnam,December,2018
18272,India,July,2018
18273,Thailand,June,2018
18274,Vietnam,January,2018
18275,India,January,2018
18276,Thailand,May,2018
18277,Vietnam,December,2018
18278,India,July,2018
18279,Thailand,June,2018
18280,Vietnam,January,2018
18281,India,January,2018
18282,Thailand,May,2018
18283,Vietnam,December,2018
18284,India,July,2018
18285,Thailand,June,2018
18286,Vietnam,January,2018
18287,India,January,2018
18288,Thailand,May,2018
18289,Vietnam,December,2018
18290,India,July,2018
18291,Thailand,June,2018
18292,Vietnam,January,2018
18293,India,January,2018
18294,Thailand,May,2018
18295,Vietnam,December,2018
18296,India,July,2018
18297,Thailand,June,2018
18298,Vietnam,January,2018
18299,Philippines,February,2018
18300,Phillippines,July,2018
18301,India,January,2018
18302,Thailand,May,2018
18303,Vietnam,December,2018
18304,India,July,2018
18305,Thailand,June,2018
18306,Vietnam,January,2018
18307,India,January,2018
18308,Thailand,May,2018
18309,Vietnam,December,2018
18310,India,July,2018
18311,Thailand,June,2018
18312,Vietnam,January,2018
18313,India,January,2018
18314,Thailand,May,2018
18315,Vietnam,December,2018
18316,India,July,2018
18317,Thailand,June,2018
18318,Vietnam,January,2018
18319,India,January,2018
18320,Thailand,May,2018
18321,Vietnam,December,2018
18322,India,July,2018
18323,Thailand,June,2018
18324,Vietnam,January,2018
18325,India,January,2018
18326,Thailand,May,2018
18327,Vietnam,December,2018
18328,India,July,2018
18329,Thailand,June,2018
18330,Vietnam,January,2018
18331,India,January,2018
18332,Thailand,May,2018
18333,Vietnam,December,2018
18334,India,July,2018
18335,Thailand,June,2018
18336,Vietnam,January,2018
18337,India,January,2018
18338,Thailand,May,2018
18339,Vietnam,December,2018
18340,India,July,2018
18341,Thailand,June,2018
18342,Vietnam,January,2018
18343,India,January,2018
18344,Thailand,May,2018
18345,Vietnam,December,2018
18346,India,July,2018
18347,Thailand,June,2018
18348,Vietnam,January,2018
18349,Philippines,February,2018
18350,Phillippines,July,2018
18351,India,January,2018
18352,Thailand,May,2018
18353,Vietnam,December,2018
18354,India,July,2018
18355,Thailand,June,2018
18356,Vietnam,January,2018
18357,India,January,2018
18358,Thailand,May,2018
18359,Vietnam,December,2018
18360,India,July,2018
18361,Thailand,June,2018
18362,Vietnam,January,2018
18363,India,January,2018
18364,Thailand,May,2018
18365,Vietnam,December,2018
18366,India,July,2018
18367,Thailand,June,2018
18368,Vietnam,January,2018
18369,India,January,2018
18370,Thailand,May,2018
18371,Vietnam,December,2018
18372,India,July,2018
18373,Thailand,June,2018
18374,Vietnam,January,2018
18375,India,January,2018
18376,Thailand,May,2018
18377,Vietnam,December,2018
18378,India,July,2018
18379,Thailand,June,2018
18380,Vietnam,January,2018
18381,India,January,2018
18382,Thailand,May,2018
18383,Vietnam,December,2018
18384,India,July,2018
18385,Thailand,June,2018
18386,Vietnam,January,2018
18387,India,January,2018
18388,Thailand,May,2018
18389,Vietnam,December,2018
18390,India,July,2018
18391,Thailand,June,2018
18392,Vietnam,January,2018
18393,India,January,2018
18394,Thailand,May,2018
18395,Vietnam,December,2018
18396,India,July,2018
18397,Thailand,June,2018
18398,Vietnam,January,2018
18399,Philippines,February,2018
18400,Phillippines,July,2018
18401,India,January,2018
18402,Thailand,May,2018
18403,Vietnam,December,2018
18404,India,July,2018
18405,Thailand,June,2018
18406,Vietnam,January,2018
18407,India,January,2018
18408,Thailand,May,2018
18409,Vietnam,December,2018
18410,India,July,2018
18411,Thailand,June,2018
18412,Vietnam,January,2018
18413,India,January,2018
18414,Thailand,May,2018
18415,Vietnam,December,2018
18416,India,July,2018
18417,Thailand,June,2018
18418,Vietnam,January,2018
18419,India,January,2018
18420,Thailand,May,2018
18421,Vietnam,December,2018
18422,India,July,2018
18423,Thailand,June,2018
18424,Vietnam,January,2018
18425,India,January,2018
18426,Thailand,May,2018
18427,Vietnam,December,2018
18428,India,July,2018
18429,Thailand,June,2018
18430,Vietnam,January,2018
18431,India,January,2018
18432,Thailand,May,2018
18433,Vietnam,December,2018
18434,India,July,2018
18435,Thailand,June,2018
18436,Vietnam,January,2018
18437,India,January,2018
18438,Thailand,May,2018
18439,Vietnam,December,2018
18440,India,July,2018
18441,Thailand,June,2018
18442,Vietnam,January,2018
18443,India,January,2018
18444,Thailand,May,2018
18445,Vietnam,December,2018
18446,India,July,2018
18447,Thailand,June,2018
18448,Vietnam,January,2018
18449,Philippines,February,2018
18450,Phillippines,July,2018
18451,India,January,2018
18452,Thailand,May,2018
18453,Vietnam,December,2018
18454,India,July,2018
18455,Thailand,June,2018
18456,Vietnam,January,2018
18457,India,January,2018
18458,Thailand,May,2018
18459,Vietnam,December,2018
18460,India,July,2018
18461,Thailand,June,2018
18462,Vietnam,January,2018
18463,India,January,2018
18464,Thailand,May,2018
18465,Vietnam,December,2018
18466,India,July,2018
18467,Thailand,June,2018
18468,Vietnam,January,2018
18469,India,January,2018
18470,Thailand,May,2018
18471,Vietnam,December,2018
18472,India,July,2018
18473,Thailand,June,2018
18474,Vietnam,January,2018
18475,India,January,2018
18476,Thailand,May,2018
18477,Vietnam,December,2018
18478,India,July,2018
18479,Thailand,June,2018
18480,Vietnam,January,2018
18481,India,January,2018
18482,Thailand,May,2018
18483,Vietnam,December,2018
18484,India,July,2018
18485,Thailand,June,2018
18486,Vietnam,January,2018
18487,India,January,2018
18488,Thailand,May,2018
18489,Vietnam,December,2018
18490,India,July,2018
18491,Thailand,June,2018
18492,Vietnam,January,2018
18493,India,January,2018
18494,Thailand,May,2018
18495,Vietnam,December,2018
18496,India,July,2018
18497,Thailand,June,2018
18498,Vietnam,January,2018
18499,Philippines,February,2018
18500,Phillippines,July,2018
18501,India,January,2018
18502,Thailand,May,2018
18503,Vietnam,December,2018
18504,India,July,2018
18505,Thailand,June,2018
18506,Vietnam,January,2018
18507,India,January,2018
18508,Thailand,May,2018
18509,Vietnam,December,2018
18510,India,July,2018
18511,Thailand,June,2018
18512,Vietnam,January,2018
18513,India,January,2018
18514,Thailand,May,2018
18515,Vietnam,December,2018
18516,India,July,2018
18517,Thailand,June,2018
18518,Vietnam,January,2018
18519,India,January,2018
18520,Thailand,May,2018
18521,Vietnam,December,2018
18522,India,July,2018
18523,Thailand,June,2018
18524,Vietnam,January,2018
18525,India,January,2018
18526,Thailand,May,2018
18527,Vietnam,December,2018
18528,India,July,2018
18529,Thailand,June,2018
18530,Vietnam,January,2018
18531,India,January,2018
18532,Thailand,May,2018
18533,Vietnam,December,2018
18534,India,July,2018
18535,Thailand,June,2018
18536,Vietnam,January,2018
18537,India,January,2018
18538,Thailand,May,2018
18539,Vietnam,December,2018
18540,India,July,2018
18541,Thailand,June,2018
18542,Vietnam,January,2018
18543,India,January,2018
18544,Thailand,May,2018
18545,Vietnam,December,2018
18546,India,July,2018
18547,Thailand,June,2018
18548,Vietnam,January,2018
18549,Philippines,February,2018
18550,Phillippines,July,2018
18551,India,January,2018
18552,Thailand,May,2018
18553,Vietnam,December,2018
18554,India,July,2018
18555,Thailand,June,2018
18556,Vietnam,January,2018
18557,India,January,2018
18558,Thailand,May,2018
18559,Vietnam,December,2018
18560,India,July,2018
18561,Thailand,June,2018
18562,Vietnam,January,2018
18563,India,January,2018
18564,Thailand,May,2018
18565,Vietnam,December,2018
18566,India,July,2018
18567,Thailand,June,2018
18568,Vietnam,January,2018
18569,India,January,2018
18570,Thailand,May,2018
18571,Vietnam,December,2018
18572,India,July,2018
18573,Thailand,June,2018
18574,Vietnam,January,2018
18575,India,January,2018
18576,Thailand,May,2018
18577,Vietnam,December,2018
18578,India,July,2018
18579,Thailand,June,2018
18580,Vietnam,January,2018
18581,India,January,2018
18582,Thailand,May,2018
18583,Vietnam,December,2018
18584,India,July,2018
18585,Thailand,June,2018
18586,Vietnam,January,2018
18587,India,January,2018
18588,Thailand,May,2018
18589,Vietnam,December,2018
18590,India,July,2018
18591,Thailand,June,2018
18592,Vietnam,January,2018
18593,India,January,2018
18594,Thailand,May,2018
18595,Vietnam,December,2018
18596,India,July,2018
18597,Thailand,June,2018
18598,Vietnam,January,2018
18599,Philippines,February,2018
18600,Phillippines,July,2018
18601,India,January,2018
18602,Thailand,May,2018
18603,Vietnam,December,2018
18604,India,July,2018
18605,Thailand,June,2018
18606,Vietnam,January,2018
18607,India,January,2018
18608,Thailand,May,2018
18609,Vietnam,December,2018
18610,India,July,2018
18611,Thailand,June,2018
18612,Vietnam,January,2018
18613,India,January,2018
18614,Thailand,May,2018
18615,Vietnam,December,2018
18616,India,July,2018
18617,Thailand,June,2018
18618,Vietnam,January,2018
18619,India,January,2018
18620,Thailand,May,2018
18621,Vietnam,December,2018
18622,India,July,2018
18623,Thailand,June,2018
18624,Vietnam,January,2018
18625,India,January,2018
18626,Thailand,May,2018
18627,Vietnam,December,2018
18628,India,July,2018
18629,Thailand,June,2018
18630,Vietnam,January,2018
18631,India,January,2018
18632,Thailand,May,2018
18633,Vietnam,December,2018
18634,India,July,2018
18635,Thailand,June,2018
18636,Vietnam,January,2018
18637,India,January,2018
18638,Thailand,May,2018
18639,Vietnam,December,2018
18640,India,July,2018
18641,Thailand,June,2018
18642,Vietnam,January,2018
18643,India,January,2018
18644,Thailand,May,2018
18645,Vietnam,December,2018
18646,India,July,2018
18647,Thailand,June,2018
18648,Vietnam,January,2018
18649,Philippines,February,2018
18650,Phillippines,July,2018
18651,India,January,2018
18652,Thailand,May,2018
18653,Vietnam,December,2018
18654,India,July,2018
18655,Thailand,June,2018
18656,Vietnam,January,2018
18657,India,January,2018
18658,Thailand,May,2018
18659,Vietnam,December,2018
18660,India,July,2018
18661,Thailand,June,2018
18662,Vietnam,January,2018
18663,India,January,2018
18664,Thailand,May,2018
18665,Vietnam,December,2018
18666,India,July,2018
18667,Thailand,June,2018
18668,Vietnam,January,2018
18669,India,January,2018
18670,Thailand,May,2018
18671,Vietnam,December,2018
18672,India,July,2018
18673,Thailand,June,2018
18674,Vietnam,January,2018
18675,India,January,2018
18676,Thailand,May,2018
18677,Vietnam,December,2018
18678,India,July,2018
18679,Thailand,June,2018
18680,Vietnam,January,2018
18681,India,January,2018
18682,Thailand,May,2018
18683,Vietnam,December,2018
18684,India,July,2018
18685,Thailand,June,2018
18686,Vietnam,January,2018
18687,India,January,2018
18688,Thailand,May,2018
18689,Vietnam,December,2018
18690,India,July,2018
18691,Thailand,June,2018
18692,Vietnam,January,2018
18693,India,January,2018
18694,Thailand,May,2018
18695,Vietnam,December,2018
18696,India,July,2018
18697,Thailand,June,2018
18698,Vietnam,January,2018
18699,Philippines,February,2018
18700,Phillippines,July,2018
18701,India,January,2018
18702,Thailand,May,2018
18703,Vietnam,December,2018
18704,India,July,2018
18705,Thailand,June,2018
18706,Vietnam,January,2018
18707,India,January,2018
18708,Thailand,May,2018
18709,Vietnam,December,2018
18710,India,July,2018
18711,Thailand,June,2018
18712,Vietnam,January,2018
18713,India,January,2018
18714,Thailand,May,2018
18715,Vietnam,December,2018
18716,India,July,2018
18717,Thailand,June,2018
18718,Vietnam,January,2018
18719,India,January,2018
18720,Thailand,May,2018
18721,Vietnam,December,2018
18722,India,July,2018
18723,Thailand,June,2018
18724,Vietnam,January,2018
18725,India,January,2018
18726,Thailand,May,2018
18727,Vietnam,December,2018
18728,India,July,2018
18729,Thailand,June,2018
18730,Vietnam,January,2018
18731,India,January,2018
18732,Thailand,May,2018
18733,Vietnam,December,2018
18734,India,July,2018
18735,Thailand,June,2018
18736,Vietnam,January,2018
18737,India,January,2018
18738,Thailand,May,2018
18739,Vietnam,December,2018
18740,India,July,2018
18741,Thailand,June,2018
18742,Vietnam,January,2018
18743,India,January,2018
18744,Thailand,May,2018
18745,Vietnam,December,2018
18746,India,July,2018
18747,Thailand,June,2018
18748,Vietnam,January,2018
18749,Philippines,February,2018
18750,Phillippines,July,2018
18751,India,January,2018
18752,Thailand,May,2018
18753,Vietnam,December,2018
18754,India,July,2018
18755,Thailand,June,2018
18756,Vietnam,January,2018
18757,India,January,2018
18758,Thailand,May,2018
18759,Vietnam,December,2018
18760,India,July,2018
18761,Thailand,June,2018
18762,Vietnam,January,2018
18763,India,January,2018
18764,Thailand,May,2018
18765,Vietnam,December,2018
18766,India,July,2018
18767,Thailand,June,2018
18768,Vietnam,January,2018
18769,India,January,2018
18770,Thailand,May,2018
18771,Vietnam,December,2018
18772,India,July,2018
18773,Thailand,June,2018
18774,Vietnam,January,2018
18775,India,January,2018
18776,Thailand,May,2018
18777,Vietnam,December,2018
18778,India,July,2018
18779,Thailand,June,2018
18780,Vietnam,January,2018
18781,India,January,2018
18782,Thailand,May,2018
18783,Vietnam,December,2018
18784,India,July,2018
18785,Thailand,June,2018
18786,Vietnam,January,2018
18787,India,January,2018
18788,Thailand,May,2018
18789,Vietnam,December,2018
18790,India,July,2018
18791,Thailand,June,2018
18792,Vietnam,January,2018
18793,India,January,2018
18794,Thailand,May,2018
18795,Vietnam,December,2018
18796,India,July,2018
18797,Thailand,June,2018
18798,Vietnam,January,2018
18799,Philippines,February,2018
18800,Phillippines,July,2018
18801,India,January,2018
18802,Thailand,May,2018
18803,Vietnam,December,2018
18804,India,July,2018
18805,Thailand,June,2018
18806,Vietnam,January,2018
18807,India,January,2018
18808,Thailand,May,2018
18809,Vietnam,December,2018
18810,India,July,2018
18811,Thailand,June,2018
18812,Vietnam,January,2018
18813,India,January,2018
18814,Thailand,May,2018
18815,Vietnam,December,2018
18816,India,July,2018
18817,Thailand,June,2018
18818,Vietnam,January,2018
18819,India,January,2018
18820,Thailand,May,2018
18821,Vietnam,December,2018
18822,India,July,2018
18823,Thailand,June,2018
18824,Vietnam,January,2018
18825,India,January,2018
18826,Thailand,May,2018
18827,Vietnam,December,2018
18828,India,July,2018
18829,Thailand,June,2018
18830,Vietnam,January,2018
18831,India,January,2018
18832,Thailand,May,2018
18833,Vietnam,December,2018
18834,India,July,2018
18835,Thailand,June,2018
18836,Vietnam,January,2018
18837,India,January,2018
18838,Thailand,May,2018
18839,Vietnam,December,2018
18840,India,July,2018
18841,Thailand,June,2018
18842,Vietnam,January,2018
18843,India,January,2018
18844,Thailand,May,2018
18845,Vietnam,December,2018
18846,India,July,2018
18847,Thailand,June,2018
18848,Vietnam,January,2018
18849,Philippines,February,2018
18850,Phillippines,July,2018
18851,India,January,2018
18852,Thailand,May,2018
18853,Vietnam,December,2018
18854,India,July,2018
18855,Thailand,June,2018
18856,Vietnam,January,2018
18857,India,January,2018
18858,Thailand,May,2018
18859,Vietnam,December,2018
18860,India,July,2018
18861,Thailand,June,2018
18862,Vietnam,January,2018
18863,India,January,2018
18864,Thailand,May,2018
18865,Vietnam,December,2018
18866,India,July,2018
18867,Thailand,June,2018
18868,Vietnam,January,2018
18869,India,January,2018
18870,Thailand,May,2018
18871,Vietnam,December,2018
18872,India,July,2018
18873,Thailand,June,2018
18874,Vietnam,January,2018
18875,India,January,2018
18876,Thailand,May,2018
18877,Vietnam,December,2018
18878,India,July,2018
18879,Thailand,June,2018
18880,Vietnam,January,2018
18881,India,January,2018
18882,Thailand,May,2018
18883,Vietnam,December,2018
18884,India,July,2018
18885,Thailand,June,2018
18886,Vietnam,January,2018
18887,India,January,2018
18888,Thailand,May,2018
18889,Vietnam,December,2018
18890,India,July,2018
18891,Thailand,June,2018
18892,Vietnam,January,2018
18893,India,January,2018
18894,Thailand,May,2018
18895,Vietnam,December,2018
18896,India,July,2018
18897,Thailand,June,2018
18898,Vietnam,January,2018
18899,Philippines,February,2018
18900,Phillippines,July,2018
18901,India,January,2018
18902,Thailand,May,2018
18903,Vietnam,December,2018
18904,India,July,2018
18905,Thailand,June,2018
18906,Vietnam,January,2018
18907,India,January,2018
18908,Thailand,May,2018
18909,Vietnam,December,2018
18910,India,July,2018
18911,Thailand,June,2018
18912,Vietnam,January,2018
18913,India,January,2018
18914,Thailand,May,2018
18915,Vietnam,December,2018
18916,India,July,2018
18917,Thailand,June,2018
18918,Vietnam,January,2018
18919,India,January,2018
18920,Thailand,May,2018
18921,Vietnam,December,2018
18922,India,July,2018
18923,Thailand,June,2018
18924,Vietnam,January,2018
18925,India,January,2018
18926,Thailand,May,2018
18927,Vietnam,December,2018
18928,India,July,2018
18929,Thailand,June,2018
18930,Vietnam,January,2018
18931,India,January,2018
18932,Thailand,May,2018
18933,Vietnam,December,2018
18934,India,July,2018
18935,Thailand,June,2018
18936,Vietnam,January,2018
18937,India,January,2018
18938,Thailand,May,2018
18939,Vietnam,December,2018
18940,India,July,2018
18941,Thailand,June,2018
18942,Vietnam,January,2018
18943,India,January,2018
18944,Thailand,May,2018
18945,Vietnam,December,2018
18946,India,July,2018
18947,Thailand,June,2018
18948,Vietnam,January,2018
18949,Philippines,February,2018
18950,Phillippines,July,2018
18951,India,January,2018
18952,Thailand,May,2018
18953,Vietnam,December,2018
18954,India,July,2018
18955,Thailand,June,2018
18956,Vietnam,January,2018
18957,India,January,2018
18958,Thailand,May,2018
18959,Vietnam,December,2018
18960,India,July,2018
18961,Thailand,June,2018
18962,Vietnam,January,2018
18963,India,January,2018
18964,Thailand,May,2018
18965,Vietnam,December,2018
18966,India,July,2018
18967,Thailand,June,2018
18968,Vietnam,January,2018
18969,India,January,2018
18970,Thailand,May,2018
18971,Vietnam,December,2018
18972,India,July,2018
18973,Thailand,June,2018
18974,Vietnam,January,2018
18975,India,January,2018
18976,Thailand,May,2018
18977,Vietnam,December,2018
18978,India,July,2018
18979,Thailand,June,2018
18980,Vietnam,January,2018
18981,India,January,2018
18982,Thailand,May,2018
18983,Vietnam,December,2018
18984,India,July,2018
18985,Thailand,June,2018
18986,Vietnam,January,2018
18987,India,January,2018
18988,Thailand,May,2018
18989,Vietnam,December,2018
18990,India,July,2018
18991,Thailand,June,2018
18992,Vietnam,January,2018
18993,India,January,2018
18994,Thailand,May,2018
18995,Vietnam,December,2018
18996,India,July,2018
18997,Thailand,June,2018
18998,Vietnam,January,2018
18999,Philippines,February,2018
19000,Phillippines,July,2018
19001,India,January,2018
19002,Thailand,May,2018
19003,Vietnam,December,2018
19004,India,July,2018
19005,Thailand,June,2018
19006,Vietnam,January,2018
19007,India,January,2018
19008,Thailand,May,2018
19009,Vietnam,December,2018
19010,India,July,2018
19011,Thailand,June,2018
19012,Vietnam,January,2018
19013,India,January,2018
19014,Thailand,May,2018
19015,Vietnam,December,2018
19016,India,July,2018
19017,Thailand,June,2018
19018,Vietnam,January,2018
19019,India,January,2018
19020,Thailand,May,2018
19021,Vietnam,December,2018
19022,India,July,2018
19023,Thailand,June,2018
19024,Vietnam,January,2018
19025,India,January,2018
19026,Thailand,May,2018
19027,Vietnam,December,2018
19028,India,July,2018
19029,Thailand,June,2018
19030,Vietnam,January,2018
19031,India,January,2018
19032,Thailand,May,2018
19033,Vietnam,December,2018
19034,India,July,2018
19035,Thailand,June,2018
19036,Vietnam,January,2018
19037,India,January,2018
19038,Thailand,May,2018
19039,Vietnam,December,2018
19040,India,July,2018
19041,Thailand,June,2018
19042,Vietnam,January,2018
19043,India,January,2018
19044,Thailand,May,2018
19045,Vietnam,December,2018
19046,India,July,2018
19047,Thailand,June,2018
19048,Vietnam,January,2018
19049,Philippines,February,2018
19050,Phillippines,July,2018
19051,India,January,2018
19052,Thailand,May,2018
19053,Vietnam,December,2018
19054,India,July,2018
19055,Thailand,June,2018
19056,Vietnam,January,2018
19057,India,January,2018
19058,Thailand,May,2018
19059,Vietnam,December,2018
19060,India,July,2018
19061,Thailand,June,2018
19062,Vietnam,January,2018
19063,India,January,2018
19064,Thailand,May,2018
19065,Vietnam,December,2018
19066,India,July,2018
19067,Thailand,June,2018
19068,Vietnam,January,2018
19069,India,January,2018
19070,Thailand,May,2018
19071,Vietnam,December,2018
19072,India,July,2018
19073,Thailand,June,2018
19074,Vietnam,January,2018
19075,India,January,2018
19076,Thailand,May,2018
19077,Vietnam,December,2018
19078,India,July,2018
19079,Thailand,June,2018
19080,Vietnam,January,2018
19081,India,January,2018
19082,Thailand,May,2018
19083,Vietnam,December,2018
19084,India,July,2018
19085,Thailand,June,2018
19086,Vietnam,January,2018
19087,India,January,2018
19088,Thailand,May,2018
19089,Vietnam,December,2018
19090,India,July,2018
19091,Thailand,June,2018
19092,Vietnam,January,2018
19093,India,January,2018
19094,Thailand,May,2018
19095,Vietnam,December,2018
19096,India,July,2018
19097,Thailand,June,2018
19098,Vietnam,January,2018
19099,Philippines,February,2018
19100,Phillippines,July,2018
19101,India,January,2018
19102,Thailand,May,2018
19103,Vietnam,December,2018
19104,India,July,2018
19105,Thailand,June,2018
19106,Vietnam,January,2018
19107,India,January,2018
19108,Thailand,May,2018
19109,Vietnam,December,2018
19110,India,July,2018
19111,Thailand,June,2018
19112,Vietnam,January,2018
19113,India,January,2018
19114,Thailand,May,2018
19115,Vietnam,December,2018
19116,India,July,2018
19117,Thailand,June,2018
19118,Vietnam,January,2018
19119,India,January,2018
19120,Thailand,May,2018
19121,Vietnam,December,2018
19122,India,July,2018
19123,Thailand,June,2018
19124,Vietnam,January,2018
19125,India,January,2018
19126,Thailand,May,2018
19127,Vietnam,December,2018
19128,India,July,2018
19129,Thailand,June,2018
19130,Vietnam,January,2018
19131,India,January,2018
19132,Thailand,May,2018
19133,Vietnam,December,2018
19134,India,July,2018
19135,Thailand,June,2018
19136,Vietnam,January,2018
19137,India,January,2018
19138,Thailand,May,2018
19139,Vietnam,December,2018
19140,India,July,2018
19141,Thailand,June,2018
19142,Vietnam,January,2018
19143,India,January,2018
19144,Thailand,May,2018
19145,Vietnam,December,2018
19146,India,July,2018
19147,Thailand,June,2018
19148,Vietnam,January,2018
19149,Philippines,February,2018
19150,Phillippines,July,2018
19151,India,January,2018
19152,Thailand,May,2018
19153,Vietnam,December,2018
19154,India,July,2018
19155,Thailand,June,2018
19156,Vietnam,January,2018
19157,India,January,2018
19158,Thailand,May,2018
19159,Vietnam,December,2018
19160,India,July,2018
19161,Thailand,June,2018
19162,Vietnam,January,2018
19163,India,January,2018
19164,Thailand,May,2018
19165,Vietnam,December,2018
19166,India,July,2018
19167,Thailand,June,2018
19168,Vietnam,January,2018
19169,India,January,2018
19170,Thailand,May,2018
19171,Vietnam,December,2018
19172,India,July,2018
19173,Thailand,June,2018
19174,Vietnam,January,2018
19175,India,January,2018
19176,Thailand,May,2018
19177,Vietnam,December,2018
19178,India,July,2018
19179,Thailand,June,2018
19180,Vietnam,January,2018
19181,India,January,2018
19182,Thailand,May,2018
19183,Vietnam,December,2018
19184,India,July,2018
19185,Thailand,June,2018
19186,Vietnam,January,2018
19187,India,January,2018
19188,Thailand,May,2018
19189,Vietnam,December,2018
19190,India,July,2018
19191,Thailand,June,2018
19192,Vietnam,January,2018
19193,India,January,2018
19194,Thailand,May,2018
19195,Vietnam,December,2018
19196,India,July,2018
19197,Thailand,June,2018
19198,Vietnam,January,2018
19199,Philippines,February,2018
19200,Phillippines,July,2018
19201,India,January,2018
19202,Thailand,May,2018
19203,Vietnam,December,2018
19204,India,July,2018
19205,Thailand,June,2018
19206,Vietnam,January,2018
19207,India,January,2018
19208,Thailand,May,2018
19209,Vietnam,December,2018
19210,India,July,2018
19211,Thailand,June,2018
19212,Vietnam,January,2018
19213,India,January,2018
19214,Thailand,May,2018
19215,Vietnam,December,2018
19216,India,July,2018
19217,Thailand,June,2018
19218,Vietnam,January,2018
19219,India,January,2018
19220,Thailand,May,2018
19221,Vietnam,December,2018
19222,India,July,2018
19223,Thailand,June,2018
19224,Vietnam,January,2018
19225,India,January,2018
19226,Thailand,May,2018
19227,Vietnam,December,2018
19228,India,July,2018
19229,Thailand,June,2018
19230,Vietnam,January,2018
19231,India,January,2018
19232,Thailand,May,2018
19233,Vietnam,December,2018
19234,India,July,2018
19235,Thailand,June,2018
19236,Vietnam,January,2018
19237,India,January,2018
19238,Thailand,May,2018
19239,Vietnam,December,2018
19240,India,July,2018
19241,Thailand,June,2018
19242,Vietnam,January,2018
19243,India,January,2018
19244,Thailand,May,2018
19245,Vietnam,December,2018
19246,India,July,2018
19247,Thailand,June,2018
19248,Vietnam,January,2018
19249,Philippines,February,2018
19250,Phillippines,July,2018
19251,India,January,2018
19252,Thailand,May,2018
19253,Vietnam,December,2018
19254,India,July,2018
19255,Thailand,June,2018
19256,Vietnam,January,2018
19257,India,January,2018
19258,Thailand,May,2018
19259,Vietnam,December,2018
19260,India,July,2018
19261,Thailand,June,2018
19262,Vietnam,January,2018
19263,India,January,2018
19264,Thailand,May,2018
19265,Vietnam,December,2018
19266,India,July,2018
19267,Thailand,June,2018
